customer_id;title;fname;lname;addressline;town;zipcode;phone
95;Mme;Richard;Margeuerite;Poplar Street;GRANITEVILLE;803;3725989
96;M.;Mercier;Frederic;Green Street;RINGGOLD;940;9484987
97;Mme;Thomas;Renee;Broadway Street;EASTABUCHIE;601;8950193
98;Mme;Richard;Audrey;15th Street;GRAND LEDGE;517;4531962
99;M.;Dubois;Christophe;Lakeview Street;COLOME;605;2934891
100;Mme;Michel;Florence;Cedar Street;CUBA;505;1557972
101;Mme;Fournier;Elodie;Poplar Street;BANGOR;530;9246997
102;Mme;Lefèvre;Emilie;View Street;MONTROSE;217;6884262
103;M.;Moreau;Rene;6th Street;FRISCO;972;2489036
104;M.;Fournier;Gerard;10th Street;GLEN LYON;717;1989837
105;Mme;Morel;Margeuerite;11th Street;AIRWAY HEIGHTS;509;6014617
106;M.;Laurent;Stephane;South Street;ESTERO;941;3401988
107;Mme;Robert;Aurelie;Spruce Street;GEORGETOWN;937;3321909
108;M.;Bernard;Jean;Elm Street;LEE VINING;760;8135212
109;Mme;Roux;Cecile;South Street;KEEGO HARBOR;248;3695259
110;M.;Leroy;Michel;Washington Street;CAMDEN POINT;816;3313605
111;Mme;Petit;Colette;Eighth Street;HALLANDALE;954;6249333
112;Mme;Roux;Bernadette;Poplar Street;SAINT BENEDICT;503;6212139
113;Mme;André;Corinne;2nd Street;WACO;417;2321861
114;Mme;Morel;Chantal;Madison Street;WOLF CREEK;541;3860851
115;M.;Thomas;Jerome;Fifteenth Street;SPRINGVILLE;901;8320933
116;M.;Bertrand;Jean;Hill Street;WHITE SULPHUR SPRINGS;914;4775359
117;Mme;Vincent;Andree;Sycamore Street;SANDERS;520;3059060
118;Mme;Martin;Christelle;Highland Street;CURRITUCK;252;6881138
119;Mme;Michel;Bernadette;Lake Street;HAYNEVILLE;334;0166106
120;M.;Simon;Stephane;Adams Street;INDIAN VALLEY;208;0060888
121;M.;Martin;Nicolas;Spring Street;CARYVILLE;850;4743248
122;Mme;Simon;Monique;Hickory Street;MADERA;814;3447162
123;M.;Robert;George;Hillcrest Street;PAICINES;831;0210143
124;M.;Bernard;Christophe;Lake Street;FISHERS;716;8345379
125;Mme;Richard;Corinne;North Street;NEWFOUNDLAND;717;9602989
126;Mme;André;Celine;Jefferson Street;HORSE CAVE;502;9067055
127;M.;Martin;Joseph;Miller Street;LA GRANDE;541;2462196
128;Mme;Petit;Jeanne;Center Street;HELENA;912;3455611
129;Mme;Laurent;Jacqueline;Second Street;FAYETTEVILLE;501;1435744
130;Mme;Dubois;Elodie;3rd Street;TETLIN;907;6619639
131;Mme;Richard;Monique;5th Street;EAST CHINA;810;6669835
132;M.;Girard;Didier;Seventh Street;CROCKETT;540;1070555
133;Mme;Martin;Caroline;Elm Street;MOODUS;860;0123721
134;M.;Lefebvre;Yves;Sunset Street;DELANO;717;3607422
135;Mme;Lefebvre;Marie;Walnut Street;DE WITT;660;5788596
136;M.;Roux;Christian;Main Street;GLENWOOD;708;3204423
137;Mme;Morel;Josette;Maple Street;LOS ANGELES;323;7519876
138;M.;Garcia;Thierry;River Street;BATESVILLE;870;5153534
139;M.;Petit;Henri;8th Street;YONKERS;914;2187494
140;Mme;André;Cecile;Madison Street;CEDAR SPRINGS;616;3604622
141;M.;Richard;Daniel;Oak Street;NATIONAL MINE;906;7329678
142;M.;Robert;Dominique;Washington Street;KOPPEL;724;6456669
143;M.;Laurent;Marc;Broadway Street;GLADSTONE;804;7381751
144;Mme;Roux;Jeannine;South Street;HARVEYVILLE;785;4116152
145;Mme;Bernard;Claire;Highland Street;WYCKOFF;201;2722061
146;Mme;Richard;Jeanne;Elm Street;NORTH BEND;513;0907705
147;M.;Robert;Olivier;Main Street;SPENCER;330;3689584
148;Mme;Thomas;Cecile;1st Street;SOUTH SAINT PAUL;651;9809561
149;M.;Fournier;Pierre;Green Street;ADJUNTAS;787;4011693
150;Mme;André;Madeleine;Pine Street;MONTEZUMA;419;4447473
151;M.;Girard;Christophe;Broadway Street;CHILTON;920;8420249
152;M.;Fournier;Thomas;Pine Street;TIMBERLAKE;910;5692977
153;Mme;Lefebvre;Odette;Williams Street;WASHINGTON;309;3678027
154;M.;David;Andre;Sunset Street;WHITLEYVILLE;931;1971648
155;M.;Laurent;Paul;Railroad Street;BARLING;501;0761854
156;Mme;Morel;Laurence;Jackson Street;HASTINGS;402;3818162
157;Mme;Lefèvre;Andree;Lee Street;MUSKEGON;616;6592051
158;M.;Moreau;Andre;Woodland Street;VILLAS;609;2734984
159;M.;David;Louis;4th Street;MONKTON;802;5556279
160;M.;Martin;Olivier;Maple Street;CARLTON;254;9500973
161;Mme;Lefèvre;Anne;First Street;CABOT;501;0859995
162;M.;Morel;Thierry;Lake Street;TRURO;508;8171387
163;M.;Lefèvre;Paul;Ridge Street;BEACHWOOD;732;5538552
164;Mme;Durand;Dominique;Second Street;DODGEVILLE;906;3488230
165;Mme;Bertrand;Francoise;First Street;STRATTON;740;9605337
166;Mme;Michel;Madeleine;5th Street;WARBRANCH;606;3596719
167;M.;Martin;Robert;Main Street;CAMP SHERMAN;541;0866746
168;M.;Garcia;Olivier;Railroad Street;MOORESBURG;423;9798590
169;Mme;Roux;Margeuerite;Cedar Street;TUSCOLA;517;7246125
170;M.;Lefebvre;Eric;Ninth Street;ALAMO;701;4569262
171;M.;Bertrand;Rene;Lake Street;DENT;218;4084493
172;Mme;Petit;Jacqueline;7th Street;BAGLEY;218;2878142
173;Mme;Girard;Julie;2nd Street;GOMER;419;6280597
174;M.;Durand;Bruno;3rd Street;BIG LAKE;907;0242535
175;Mme;Lefebvre;Caroline;Lakeview Street;DESMET;208;1954804
176;Mme;Michel;Laetitia;Elm Street;OCHEYEDAN;712;9849889
177;M.;Garcia;Joseph;Ash Street;SCRANTON;501;7386062
178;M.;Lefebvre;Marc;Pine Street;WEST LEYDEN;315;4123264
179;M.;Petit;Sebastien;5th Street;NICKTOWN;814;1000583
180;Mme;Moreau;Brigitte;Park Street;EKALAKA;406;5620441
181;M.;Petit;Alain;Oak Street;RINGGOLD;318;8312941
182;Mme;David;Catherine;Church Street;CREOLA;334;6442166
183;Mme;Richard;Isabelle;Ridge Street;BILLINGSLEY;205;5544800
184;M.;Martin;Stephane;Lakeview Street;MASTIC;516;8042634
185;Mme;Lefebvre;Claudine;13th Street;PHYLLIS;606;5129767
186;M.;Lefebvre;Guillaume;North Street;WATERVILLE;507;1355880
187;M.;André;Roger;Jackson Street;APPLE RIVER;815;4279653
188;Mme;Girard;Denise;Lakeview Street;WAYLAND;716;7183429
189;Mme;Laurent;Dominique;Broadway Street;PRINSBURG;320;1151744
190;Mme;Martin;Genevieve;Hillcrest Street;WOODRUFF;864;4651534
191;M.;Fournier;Henri;Maple Street;CELINA;931;9138757
192;Mme;Mercier;Elodie;Jackson Street;HAGAMAN;518;8067947
193;M.;Girard;Michel;Fourth Street;CARROLL;712;5462047
194;M.;Petit;Sebastien;Walnut Street;LONGDALE;580;3941641
195;M.;Mercier;Didier;Main Street;MC GREGOR;319;7243344
196;Mme;Durand;Nicole;Highland Street;NIVERVILLE;518;0165703
197;Mme;Simon;Celine;Main Street;STONY POINT;914;6424777
198;M.;Laurent;Thomas;First Street;CARTER;605;8452966
199;Mme;Durand;Christelle;Park Street;MEDFORD;541;0428510
200;M.;Richard;Patrick;2nd Street;EAST LANSING;517;0009960
201;Mme;Lefèvre;Anne;Oak Street;LONDONDERRY;740;5955133
202;Mme;Martin;Francoise;Birch Street;WATERLOO;618;0035208
203;M.;Martin;Jacques;10th Street;JEWETT;740;8537232
204;Mme;Michel;Margeuerite;Ash Street;CORALVILLE;319;5828570
205;M.;Thomas;Jean-Pierre;3rd Street;BENTON;318;2688253
206;M.;David;Michel;Sycamore Street;GLENMONT;330;3421912
207;M.;Roux;Jean;Oak Street;MILTON;302;5771342
208;Mme;Morel;Claire;Sixth Street;MODESTE;225;8204721
209;Mme;Moreau;Anne;3rd Street;BOGGSTOWN;317;3727138
210;M.;Dubois;Maurice;Chestnut Street;LEWISVILLE;507;5334807
211;M.;Fournier;Daniel;Oak Street;FAIR BLUFF;910;8067131
212;M.;Leroy;Henri;First Street;CORNELL;715;5722463
213;Mme;Fournier;Josette;7th Street;ORANGEVILLE;815;5192050
214;M.;Bernard;Jean;Meadow Street;PORTVILLE;716;3859390
215;Mme;David;Anne;Willow Street;ROTHVILLE;660;9760566
216;M.;Martin;David;Forest Street;NEWELL;712;9653025
217;Mme;Robert;Emilie;Oak Street;GRADY;505;4796872
218;Mme;Simon;Jeanne;Center Street;ALBERT;405;0554691
219;M.;Simon;Louis;1st Street;GORIN;660;1383937
220;M.;Laurent;Louis;Twelfth Street;HAMILTON;978;3203800
221;M.;Martin;David;Birch Street;RAVINE;717;9200816
222;M.;David;Marc;East Street;CENTRAL;435;6457591
223;Mme;Morel;Jeanne;1st Street;BIRMINGHAM;609;1491617
224;M.;Lefèvre;Joseph;Washington Street;AMHERST;413;1200782
225;Mme;Moreau;Anne;Maple Street;HOPEWELL JUNCTION;914;6030620
226;Mme;Petit;Margeuerite;View Street;FORT WAINWRIGHT;907;8126972
227;Mme;Roux;Michele;Railroad Street;WEST BABYLON;516;1571498
228;Mme;Leroy;Laetitia;3rd Street;VERONA;417;7835662
229;M.;Fournier;Patrick;Walnut Street;FRIESLAND;920;0996417
230;Mme;Petit;Elisabeth;Wilson Street;UNIONTOWN;501;0892275
231;M.;Petit;Robert;Oak Street;HILDRETH;308;4876185
232;Mme;Durand;Marcelle;Center Street;LUDLOW;605;6855958
233;Mme;Garcia;Genevieve;5th Street;CENTRAL POINT;541;1322012
234;M.;Moreau;Alain;8th Street;TASWELL;812;8275256
235;M.;Robert;Alexandre;5th Street;FAIRFIELD;509;8384198
236;M.;Garcia;Pascal;9th Street;LARIMER;724;4176230
237;M.;Moreau;Jerome;3rd Street;SMITHVILLE;304;0699176
238;Mme;Michel;Christiane;Park Street;LA COSTE;830;3126927
239;M.;Martin;Gerard;Hickory Street;LOCUST GROVE;540;4841396
240;Mme;Lefebvre;Chantal;Broadway Street;HOLYOKE;413;5938092
241;Mme;Thomas;Andree;Lincoln Street;SAINT PAUL;308;3853191
242;Mme;Moreau;Patricia;Wilson Street;GREAT FALLS;803;3106305
243;Mme;Dubois;Laurence;10th Street;MENDON;660;7111896
244;Mme;Simon;Genevieve;Park Street;ALTAMONT;618;6113623
245;Mme;Durand;Cecile;1st Street;XENIA;618;2892024
246;Mme;Simon;Nicole;4th Street;GAS;316;3982782
247;M.;Morel;George;Franklin Street;CANTON;330;9615436
248;Mme;Richard;Bernadette;Miller Street;SHELBY;712;5676646
249;Mme;Richard;Celine;River Street;RUDYARD;906;6778298
250;M.;Petit;Henri;14th Street;PRINCETON;660;6062846
251;Mme;Laurent;Andree;Green Street;VERNON CENTER;507;7277222
252;Mme;Robert;Madeleine;First Street;BUFFALO;864;2393389
253;M.;Leroy;Gerard;Locust Street;WARREN;401;1115269
254;Mme;Durand;Christiane;Laurel Street;GILMORE;870;8854179
255;Mme;Durand;Francoise;Williams Street;OAK BLUFFS;508;6667230
256;Mme;Bernard;Danielle;Wilson Street;DIXIE;509;1640075
257;M.;Laurent;Andre;15th Street;DALLAS CITY;217;9253606
258;Mme;Durand;Julie;1st Street;SAINT DONATUS;319;2146762
259;M.;Garcia;Serge;1st Street;SARDIS;601;5710483
260;Mme;Martin;Emilie;Sunset Street;QUENTIN;717;0958303
261;Mme;Martin;Martine;Mill Street;WINONA;330;6785173
262;M.;Durand;Daniel;Pine Street;AMADOR CITY;209;0268852
263;M.;Robert;Pierre;Lee Street;RACINE;740;5165954
264;Mme;Fournier;Florence;5th Street;ELDERSVILLE;724;2008812
265;Mme;Simon;Christiane;9th Street;COMO;719;6267003
266;Mme;Laurent;Dominique;Oak Street;OLIN;319;3280627
267;M.;Bertrand;Paul;Maple Street;YELLOW PINE;208;3210856
268;Mme;Petit;Jacqueline;Walnut Street;HAGUE;701;8798734
269;Mme;Martin;Jeannine;1st Street;GUILFORD;207;4604803
270;M.;Lefèvre;Sebastien;Pine Street;FREDERIC;715;4250628
271;Mme;Robert;Claudine;Hillcrest Street;RHINELAND;573;3601499
272;M.;Martin;Alexandre;5th Street;AURORA;252;8132033
273;M.;Roux;Sebastien;Hill Street;THOMPSON;573;5739820
274;M.;Bernard;Gerard;River Street;BEDFORD PARK;708;2573595
275;Mme;Bernard;Renee;South Street;SUTHERLIN;804;7170368
276;Mme;Martin;Bernadette;Laurel Street;EASTON;203;8399121
277;M.;Moreau;Pascal;1st Street;FOLLANSBEE;304;8822567
278;Mme;Martin;Andree;15th Street;STITZER;608;9917891
279;M.;Martin;Didier;Green Street;PEPEEKEO;808;3517225
280;M.;Bernard;Philippe;Wilson Street;TOMBALL;281;0616105
281;M.;Michel;Yves;Washington Street;NEW LEIPZIG;701;8152338
282;Mme;Martin;Brigitte;Lakeview Street;MEDFORD;617;6565603
283;M.;Durand;Thierry;Oak Street;PERHAM;218;9671515
284;M.;Bernard;Christophe;15th Street;LOUISVILLE;402;8319176
285;M.;Robert;Paul;Lakeview Street;MEYERS CHUCK;907;2181564
286;M.;David;Jean;Oak Street;AGAT;671;4885392
287;Mme;Richard;Michele;Park Street;DURAND;517;4259995
288;M.;Vincent;Yves;Poplar Street;MARIPOSA;209;5243263
289;M.;Leroy;Nicolas;Forest Street;EDEN VALLEY;320;0130807
290;M.;Bernard;Marcel;Cedar Street;ELK;707;5607121
291;Mme;Simon;Paulette;Walnut Street;SAINT MATTHEWS;803;0525776
292;Mme;Leroy;Madeleine;Locust Street;BELLS;903;9928698
293;Mme;Martin;Colette;Pine Street;LESTERVILLE;605;9979328
294;M.;Martin;Jerome;Cedar Street;HUNTLEY;307;2825263
295;Mme;Laurent;Genevieve;Main Street;BONE GAP;618;5394719
296;M.;Bernard;Daniel;Locust Street;KRAKOW;920;2999167
297;M.;Bernard;Sebastien;Taylor Street;MERRIMACK;603;6068154
298;Mme;Thomas;Catherine;Cedar Street;WARD COVE;907;6593648
299;Mme;Simon;Catherine;Johnson Street;WENTWORTH;417;6802979
300;M.;Lefebvre;Stephane;Lincoln Street;KILAUEA;808;2772917
301;Mme;Martin;Julie;Main Street;FREWSBURG;716;2441450
302;M.;Dubois;Olivier;East Street;VIENNA;573;9392849
303;Mme;Leroy;Genevieve;6th Street;NINEVEH;317;3562070
304;Mme;Vincent;Catherine;Highland Street;SOUTH WILLINGTON;860;0576843
305;M.;Bernard;Gerard;Woodland Street;CENTERVILLE;931;0532281
306;M.;Girard;Thierry;South Street;QUESTA;505;9685952
307;M.;Simon;Christian;Hickory Street;LYNBROOK;516;9499375
308;Mme;Bernard;Josette;2nd Street;COHASSET;218;9894392
309;M.;Dubois;Dominique;Lakeview Street;BROWNTOWN;608;6216396
310;M.;Martin;Jerome;Lake Street;VAN HORNE;319;0287988
311;M.;Moreau;Rene;2nd Street;BETHANY;405;7425625
312;M.;Lefebvre;Bruno;Spruce Street;OCEAN GROVE;732;8549814
313;Mme;Garcia;Laurence;Twelfth Street;JACOBS CREEK;724;4781797
314;Mme;Fournier;Audrey;1st Street;FORT IRWIN;760;2398279
315;Mme;Thomas;Helene;Second Street;BLACK RIVER FALLS;715;8713071
316;Mme;David;Christine;Wilson Street;MORA;660;2467707
317;M.;Roux;Christian;1st Street;NORWICH;802;2790530
318;Mme;Laurent;Brigitte;12th Street;ESSEX;573;2399729
319;Mme;Thomas;Martine;Walnut Street;POMPEY;315;2792416
320;Mme;Roux;Michele;Fourth Street;LEONARD;660;1251853
321;M.;Morel;Frederic;2nd Street;HANOVER;505;7403342
322;Mme;Roux;Margeuerite;College Street;STEBBINS;907;7404175
323;Mme;Thomas;Florence;Washington Street;WEST ELIZABETH;412;1969462
324;M.;Dubois;Thierry;Walnut Street;BELLEVUE;425;6477483
325;M.;Richard;Guy;Broadway Street;TALALA;918;1717081
326;M.;Richard;Sebastien;Woodland Street;ORDERVILLE;435;7965841
327;M.;Thomas;Christophe;South Street;WINDHAM;860;3386167
328;M.;Robert;Jacques;13th Street;WESTON;781;8348802
329;Mme;Simon;Claire;5th Street;ATTICA;419;4737394
330;Mme;André;Dominique;2nd Street;WESTVIEW;502;1204110
331;Mme;David;Laetitia;Elm Street;KIRTLAND AFB;505;9964581
332;M.;Martin;Eric;East Street;DEWY ROSE;706;8772653
333;Mme;Mercier;Nicole;9th Street;FLORENCE;413;1803508
334;M.;Richard;Eric;Davis Street;NORTH NEWTON;316;8702038
335;M.;Laurent;Eric;Sunset Street;LIMAVILLE;330;3705426
336;Mme;Garcia;Paulette;Center Street;STITZER;608;0803210
337;Mme;Martin;Jacqueline;Poplar Street;THORNBURG;515;2258133
338;M.;Richard;Jean;Madison Street;PARKER DAM;760;4331730
339;M.;Lefèvre;Robert;Mill Street;MOZIER;618;2766477
340;M.;Martin;Vincent;Washington Street;RANCHOS DE TAOS;505;0018425
341;Mme;David;Josette;Mill Street;CENTREVILLE;601;8635021
342;Mme;Laurent;Emilie;Park Street;CLIFTON;931;4958879
343;M.;Lefebvre;Rene;Jackson Street;CULEBRA;787;4886826
344;Mme;Richard;Brigitte;Center Street;AMENIA;701;1272695
345;Mme;Roux;Cecile;Miller Street;GROUSE CREEK;435;2439240
346;M.;Moreau;Paul;River Street;ALLAKAKET;907;0322073
347;M.;Thomas;Rene;9th Street;OTTOVILLE;419;9664965
348;Mme;Martin;Anne;Broadway Street;KEARNY;520;4264084
349;M.;Moreau;David;Hill Street;SANDERS;520;9206803
350;Mme;Lefebvre;Danielle;View Street;LOST HILLS;805;1221213
351;Mme;Vincent;Celine;Dogwood Street;CHEVAK;907;0971699
352;Mme;David;Christiane;Hillcrest Street;FARSON;307;7861732
353;M.;Bertrand;Serge;Walnut Street;DELL;870;8742852
354;M.;Thomas;Didier;Cedar Street;KENTWOOD;504;2903888
355;M.;Petit;Alexandre;South Street;NEWBURY;978;6948461
356;Mme;Michel;Claudine;3rd Street;MORRISTON;352;3745502
357;Mme;Lefebvre;Helene;Wilson Street;FLEMING;970;2518449
358;Mme;Roux;Marcelle;3rd Street;LAHASKA;215;4449134
359;Mme;Simon;Bernadette;14th Street;WARNE;828;3445767
360;Mme;Martin;Julie;Elm Street;TERRE HILL;717;4965487
361;M.;Leroy;Joseph;Lee Street;WEYANOKE;225;6945512
362;Mme;Vincent;Laurence;Woodland Street;WALTHAM;781;0589945
363;Mme;Mercier;Christine;Park Street;EDGERTON;608;2211038
364;M.;Mercier;Thierry;Willow Street;PORT O CONNOR;512;4010224
365;Mme;David;Laetitia;11th Street;EAST BRANCH;607;2616971
366;Mme;Moreau;Bernadette;Franklin Street;REDFORD;915;2789101
367;Mme;Michel;Monique;10th Street;SAINT MICHAEL;612;8740375
368;Mme;Martin;Catherine;Elm Street;NEWTOWN;804;7530367
369;Mme;Petit;Jacqueline;Ash Street;CLAIRFIELD;423;4488192
370;M.;Martin;Alexandre;Cedar Street;MOULTON;515;6970023
371;M.;Martin;Yves;View Street;MURFREESBORO;870;2856180
372;M.;Martin;Pascal;12th Street;WASHINGTON;606;1237831
373;M.;Richard;Guy;Tenth Street;ETHEL;601;6596867
374;M.;Fournier;Thierry;Third Street;CRIPPLE CREEK;540;8161093
375;M.;Lefebvre;Laurent;Forest Street;WAVERLY;607;4506379
376;Mme;Thomas;Helene;Ridge Street;EQUALITY;618;1064868
377;Mme;Robert;Renee;Wilson Street;PAINESVILLE;440;7911044
378;Mme;Garcia;Caroline;Center Street;EAST RYEGATE;802;5327407
379;Mme;Garcia;Madeleine;Hill Street;UCON;208;6403678
380;Mme;Martin;Catherine;Ridge Street;CONCORD;802;0066805
381;M.;Lefèvre;Henri;Davis Street;TRENTON;435;9505423
382;M.;Durand;Guy;1st Street;AMELIA;402;7409389
383;Mme;Mercier;Renee;Washington Street;ODENTON;410;4291151
384;M.;Fournier;Louis;Eighth Street;CANTON;309;7091101
385;M.;Bernard;Maurice;Miller Street;WOLFE;304;3744694
386;Mme;Robert;Anne;4th Street;LOYAL;715;4835162
387;M.;Laurent;Andre;North Street;NEW CAMBRIA;660;9853093
388;Mme;Dubois;Natalie;3rd Street;CEDAR RUN;717;4140534
389;Mme;Dubois;Colette;Oak Street;AUTO;304;1130154
390;M.;Richard;Philippe;Cedar Street;KANONA;607;9944426
391;Mme;Dubois;Laurence;Cherry Street;COUNTRY CLUB HILLS;708;9482418
392;Mme;André;Josette;Cedar Street;KENSINGTON;320;8187272
393;M.;Lefebvre;Jerome;East Street;WEST COPAKE;518;0827132
394;Mme;Roux;Elisabeth;9th Street;SHELBY;712;2093434
395;Mme;Dubois;Josette;Broadway Street;PRINCESS ANNE;410;3305698
396;Mme;Laurent;Julie;Third Street;FREETOWN;812;0883077
397;Mme;Richard;Isabelle;1st Street;SAINT VRAIN;505;2619761
398;Mme;Durand;Claire;Park Street;BIGFORK;218;0861205
399;Mme;Lefebvre;Bernadette;First Street;RANIER;218;1652634
400;Mme;Girard;Monique;Lincoln Street;ISLE OF WIGHT;757;8253989
401;M.;Dubois;Christophe;West Street;JONESVILLE;517;3856399
402;Mme;Martin;Laetitia;Madison Street;RIPPON;304;5368492
403;M.;Lefebvre;Alexandre;Spruce Street;SUCHES;706;3231276
404;Mme;Durand;Danielle;Hickory Street;RIDGELY;410;9736528
